AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,household_key,label
65+,A,35-49K,1,0
45-54,A,50-74K,7,1
25-34,U,25-34K,8,0
25-34,U,75-99K,13,0
45-54,B,50-74K,16,0
65+,B,Under 15K,17,1
45-54,A,100-124K,18,0
35-44,B,15-24K,19,0
25-34,A,75-99K,20,1
45-54,A,75-99K,22,1
35-44,U,50-74K,25,1
45-54,U,25-34K,27,1
35-44,B,35-49K,31,0
35-44,A,125-149K,39,0
45-54,U,Under 15K,40,0
65+,U,50-74K,42,1
35-44,B,15-24K,43,1
45-54,A,150-174K,46,0
19-24,U,35-49K,48,0
35-44,A,35-49K,49,1
45-54,B,50-74K,52,0
65+,A,35-49K,55,0
55-64,A,100-124K,56,1
45-54,B,35-49K,57,0
25-34,A,150-174K,58,0
45-54,A,Under 15K,67,1
35-44,A,25-34K,71,1
65+,A,15-24K,74,1
35-44,A,100-124K,77,0
55-64,U,25-34K,78,0
45-54,U,50-74K,80,0
25-34,U,35-49K,85,0
65+,B,35-49K,86,0
45-54,U,75-99K,97,1
35-44,U,35-49K,98,1
45-54,A,Under 15K,101,1
35-44,A,35-49K,104,1
25-34,B,Under 15K,105,0
25-34,A,15-24K,109,0
25-34,U,35-49K,110,1
35-44,A,125-149K,113,0
25-34,U,35-49K,114,0
65+,B,35-49K,117,0
45-54,B,35-49K,118,0
45-54,U,125-149K,119,0
45-54,U,25-34K,121,0
45-54,B,35-49K,123,0
45-54,U,25-34K,127,0
45-54,U,50-74K,131,1
45-54,A,Under 15K,133,1
55-64,A,25-34K,134,1
45-54,U,50-74K,136,0
35-44,B,75-99K,139,0
45-54,U,35-49K,149,0
35-44,B,50-74K,155,0
19-24,U,15-24K,157,1
45-54,U,50-74K,158,1
45-54,U,Under 15K,159,0
19-24,A,75-99K,161,1
45-54,U,35-49K,164,1
55-64,A,35-49K,165,1
25-34,A,50-74K,166,1
25-34,A,100-124K,170,0
25-34,A,25-34K,178,0
45-54,U,25-34K,184,0
45-54,A,35-49K,192,0
45-54,A,75-99K,193,1
35-44,A,Under 15K,198,0
45-54,A,15-24K,201,0
45-54,U,50-74K,208,1
45-54,U,25-34K,209,0
65+,A,35-49K,211,1
35-44,U,Under 15K,212,0
55-64,B,Under 15K,214,1
35-44,U,50-74K,216,1
45-54,A,15-24K,218,0
55-64,A,150-174K,219,1
45-54,A,35-49K,220,0
65+,U,15-24K,221,1
35-44,A,35-49K,222,1
25-34,U,25-34K,230,1
35-44,U,35-49K,232,1
35-44,A,250K+,235,0
45-54,U,50-74K,239,1
45-54,A,75-99K,242,1
65+,U,50-74K,243,0
35-44,A,125-149K,248,0
35-44,A,Under 15K,249,1
45-54,A,75-99K,250,1
45-54,U,Under 15K,253,1
25-34,U,50-74K,256,0
25-34,U,25-34K,257,0
45-54,U,35-49K,263,1
45-54,U,75-99K,264,1
35-44,U,35-49K,276,1
35-44,B,50-74K,281,1
45-54,U,35-49K,282,0
25-34,A,50-74K,283,1
45-54,B,100-124K,289,1
25-34,U,35-49K,290,1
25-34,A,50-74K,294,1
55-64,A,Under 15K,300,0
35-44,A,35-49K,301,0
45-54,U,35-49K,302,0
25-34,U,50-74K,304,0
19-24,U,35-49K,306,1
25-34,A,75-99K,309,0
45-54,U,75-99K,314,1
45-54,A,75-99K,317,1
45-54,U,35-49K,319,0
45-54,A,100-124K,321,0
45-54,U,50-74K,324,0
35-44,A,75-99K,325,0
25-34,U,75-99K,329,0
35-44,A,125-149K,332,1
45-54,A,Under 15K,334,0
65+,A,50-74K,346,1
45-54,A,50-74K,350,1
45-54,U,50-74K,351,0
45-54,A,150-174K,353,1
25-34,A,35-49K,354,1
35-44,U,50-74K,358,1
45-54,U,50-74K,361,1
65+,U,50-74K,362,0
55-64,A,50-74K,367,1
65+,U,50-74K,370,0
35-44,A,75-99K,371,0
45-54,A,50-74K,377,0
55-64,A,50-74K,378,0
25-34,B,35-49K,381,1
45-54,U,50-74K,383,0
25-34,A,50-74K,385,1
35-44,B,25-34K,386,1
25-34,B,50-74K,387,0
35-44,U,150-174K,389,1
45-54,B,25-34K,390,1
65+,B,25-34K,391,0
35-44,A,250K+,392,0
35-44,U,25-34K,395,0
35-44,A,150-174K,400,1
25-34,A,25-34K,404,1
19-24,B,25-34K,409,0
55-64,A,35-49K,410,0
35-44,U,Under 15K,411,1
65+,A,15-24K,412,1
45-54,U,100-124K,413,0
45-54,A,35-49K,417,0
35-44,U,35-49K,418,0
45-54,U,50-74K,426,1
19-24,U,50-74K,428,0
19-24,U,25-34K,432,0
35-44,A,15-24K,434,0
25-34,A,50-74K,437,0
35-44,A,50-74K,438,1
45-54,B,50-74K,441,0
25-34,U,15-24K,442,0
45-54,A,25-34K,443,1
25-34,B,Under 15K,451,0
55-64,U,35-49K,454,1
19-24,B,50-74K,456,1
55-64,A,35-49K,458,0
65+,B,25-34K,460,0
65+,U,100-124K,462,1
65+,A,50-74K,464,1
45-54,U,75-99K,469,1
45-54,U,50-74K,473,0
45-54,U,35-49K,483,1
25-34,U,15-24K,484,0
35-44,U,25-34K,485,1
55-64,U,150-174K,489,1
35-44,A,75-99K,490,1
45-54,A,75-99K,491,0
45-54,U,50-74K,492,0
55-64,U,50-74K,493,1
35-44,A,250K+,510,0
45-54,U,75-99K,513,1
45-54,A,75-99K,518,0
65+,B,35-49K,523,1
45-54,U,50-74K,526,1
45-54,U,50-74K,527,1
45-54,U,35-49K,534,0
25-34,B,50-74K,540,0
25-34,U,35-49K,542,1
35-44,A,35-49K,543,0
45-54,U,50-74K,546,0
35-44,B,75-99K,548,1
45-54,U,75-99K,553,0
19-24,U,35-49K,560,0
19-24,U,25-34K,567,1
35-44,A,250K+,569,0
35-44,A,75-99K,574,0
35-44,U,50-74K,575,0
55-64,A,35-49K,576,0
25-34,U,50-74K,578,1
45-54,A,125-149K,582,1
35-44,B,15-24K,583,1
19-24,A,35-49K,586,1
35-44,A,50-74K,588,1
35-44,U,35-49K,593,0
25-34,U,35-49K,595,1
45-54,A,15-24K,596,0
19-24,U,Under 15K,597,1
35-44,B,25-34K,598,0
35-44,A,100-124K,601,0
25-34,A,75-99K,605,1
45-54,U,35-49K,606,1
45-54,U,125-149K,607,0
25-34,B,25-34K,608,1
45-54,U,50-74K,609,0
35-44,A,15-24K,614,1
45-54,U,35-49K,621,1
35-44,U,15-24K,622,0
45-54,A,35-49K,623,1
45-54,U,50-74K,624,1
35-44,A,35-49K,630,1
65+,A,100-124K,631,0
65+,A,75-99K,644,1
35-44,A,50-74K,647,1
55-64,A,50-74K,660,0
45-54,U,50-74K,661,1
55-64,A,35-49K,670,1
35-44,U,35-49K,671,1
35-44,U,25-34K,672,0
35-44,U,50-74K,675,0
45-54,U,50-74K,680,0
65+,A,125-149K,682,0
35-44,A,Under 15K,685,1
35-44,A,125-149K,688,0
65+,B,15-24K,690,0
65+,U,35-49K,692,1
45-54,U,15-24K,693,0
35-44,B,35-49K,695,1
35-44,U,50-74K,696,1
45-54,A,50-74K,699,0
45-54,B,50-74K,706,1
25-34,A,100-124K,707,1
35-44,A,100-124K,708,0
65+,A,50-74K,712,0
55-64,U,15-24K,714,1
55-64,A,15-24K,715,1
45-54,A,75-99K,716,0
45-54,A,25-34K,718,0
35-44,A,50-74K,722,0
45-54,U,25-34K,725,1
45-54,U,35-49K,731,1
55-64,A,75-99K,732,1
45-54,A,75-99K,733,0
45-54,A,175-199K,740,0
65+,U,50-74K,741,1
35-44,A,15-24K,742,0
45-54,B,Under 15K,748,0
35-44,A,75-99K,752,1
45-54,A,75-99K,753,1
35-44,U,50-74K,755,1
25-34,A,125-149K,761,0
35-44,A,125-149K,762,1
35-44,A,50-74K,764,1
45-54,A,150-174K,766,1
35-44,A,50-74K,768,0
25-34,A,50-74K,770,0
