COMMODITY_DESC,SALES_VALUE
COUPON/MISC ITEMS,639878.5600000153
SOFT DRINKS,327647.30000002246
BEEF,312103.22000000975
FLUID MILK PRODUCTS,205356.05000007528
CHEESE,189528.18000002226
FRZN MEAT/MEAT DINNERS,160517.16999999052
BAG SNACKS,148375.16000003755
BEERS/ALES,147344.4500000071
FROZEN PIZZA,146037.25000000114
BAKED BREAD/BUNS/ROLLS,145930.8500000177
COLD CEREAL,111702.42000001302
DELI MEATS,106539.94000000198
CIGARETTES,96387.82999999559
CHICKEN,94342.84999999906
LUNCHMEAT,93066.44000000213
PORK,90279.05999999958
SOUP,87799.93999999881
ICE CREAM/MILK/SHERBTS,82426.60000000069
CANDY - PACKAGED,75886.23000000011
CANNED JUICES,74735.1799999993
REFRGRATD JUICES/DRNKS,72179.19999999598
MEAT - MISC,65880.27999999707
COFFEE,64555.47999999688
CRACKERS/MISC BKD FD,64528.55999999543
WATER - CARBONATED/FLVRD DRINK,63873.100000000006
DOMESTIC WINE,61592.28999999767
BATH TISSUES,60620.23000000053
SEAFOOD - FROZEN,60000.73999999936
DIAPERS & DISPOSABLES,59663.69999999797
YOGURT,59341.22000000519
VEGETABLES - SHELF STABLE,57690.04999999849
BAKED SWEET GOODS,55091.479999998526
LAUNDRY DETERGENTS,55070.24999999852
CONVENIENT BRKFST/WHLSM SNACKS,55069.30999999662
COOKIES/CONES,54680.95999999908
MEAT - SHELF STABLE,53608.080000000504
DOG FOODS,53410.96999999875
CHEESES,52298.999999998116
FROZEN MEAT,50911.01999999851
INFANT FORMULA,50861.79000000029
HISPANIC,47899.89999999761
SALD DRSNG/SNDWCH SPRD,47585.870000001356
DINNER MXS:DRY,47209.57999999917
BREAKFAST SAUSAGE/SANDWICHES,46085.220000000416
BACON,45436.7100000009
POTATOES,45169.620000002564
CONDIMENTS/SAUCES,44856.14000000056
HAIR CARE PRODUCTS,44840.52000000037
SALAD MIX,44807.030000000246
REFRGRATD DOUGH PRODUCTS,43518.52999999995
FRZN VEGETABLE/VEG DSH,43410.17999999886
DINNER SAUSAGE,42889.19999999999
FD WRAPS/BAGS/TRSH BG,42832.219999999346
TOMATOES,41861.78999999947
MILK BY-PRODUCTS,41755.18000000184
FRUIT - SHELF STABLE,40925.52999999865
TROPICAL FRUIT,40556.94999999829
FRZN NOVELTIES/WTR ICE,40330.180000001375
EGGS,39995.6200000024
HOUSEHOLD CLEANG NEEDS,39364.610000000626
APPLES,38698.009999999726
CAKES,38690.650000000525
DRY BN/VEG/POTATO/RICE,37524.220000000525
ORAL HYGIENE PRODUCTS,36423.450000001554
BERRIES,34145.31000000316
GRAPES,34038.69000000005
PASTA SAUCE,33993.399999999005
HOT DOGS,33983.230000004005
CAT FOOD,33590.68000000184
GREETING CARDS/WRAP/PARTY SPLY,33396.59000000603
VEGETABLES - ALL OTHERS,33137.560000003716
MAGAZINE,32785.65000000616
CHICKEN/POULTRY,32295.980000002182
PNT BTR/JELLY/JAMS,32167.930000001346
BAKING MIXES,31079.760000002574
SALAD BAR,30907.08000000022
BAKING NEEDS,30533.71000000189
PAPER TOWELS,30254.540000001125
FUEL,29536.56
HEAT/SERVE,28240.17000000129
SPICES & EXTRACTS,28220.110000001096
CANDY - CHECKLANE,28123.260000004433
SHORTENING/OIL,28097.650000001173
SUGARS/SWEETNERS,27505.620000002444
SMOKED MEATS,27126.220000000172
COLD AND FLU,25642.440000001694
ANALGESICS,25426.210000001243
REFRIGERATED,25323.020000001277
SEAFOOD - SHELF STABLE,24991.740000000016
PAPER HOUSEWARES,24952.220000000667
FRZN BREAKFAST FOODS,24927.700000000303
ISOTONIC DRINKS,24753.330000000537
SALADS/DIPS,24600.990000001562
CITRUS,24527.90000000159
SEAFOOD-FRESH,24335.560000000278
BABY FOODS,24073.599999999908
